dial_code,number,is_primary,account_id
+410,955-185-3405,False,1
+905,333-291-3252,False,2
+392,326-198-4681,False,3
+937,792-939-3847,True,4
+550,845-832-8686,True,5
+432,471-336-8077,True,6
+630,371-809-5982,False,7
+389,165-397-7565,True,8
+548,610-178-4922,False,9
+998,526-881-9316,True,10
+231,378-100-0139,False,11
+936,170-112-7559,True,12
+385,941-876-3935,True,13
+752,613-423-5350,True,14
+331,848-843-1337,True,15
+523,402-708-6155,False,16
+839,510-951-7699,True,17
+236,745-860-3124,True,18
+832,734-932-0959,True,19
+382,109-989-1278,True,20
+915,340-369-4504,True,21
+69,681-467-9642,False,22
+481,820-984-5895,True,23
+984,530-187-0467,True,24
+586,372-322-3979,True,25
+225,103-343-3836,True,26
+104,839-739-8296,False,27
+202,423-917-3294,False,28
+199,230-511-6972,False,29
+668,372-420-9834,True,30
