username,name,dob,gender,secondary_email,guardian_type,account_id
gbrinsford0,vcottier0,2021-10-30,Female,kscamal0@so-net.ne.jp,father,21
ttarney1,dswatten1,2021-10-03,Male,aleindecker1@is.gd,mother,22
bgarner2,bkarpov2,2021-09-18,Male,rcowndley2@boston.com,relative,23
tdingivan3,hburdass3,2022-07-18,Female,gnanetti3@netscape.com,other,24
apeacey4,klorden4,2022-08-07,Male,jferrarotti4@addthis.com,other,25
ncreber5,bbavester5,2022-06-04,Female,mpostill5@google.cn,other,26
wlockwood6,bwhimpenny6,2022-05-20,Male,afolker6@printfriendly.com,relative,27
cdidello7,cdugdale7,2021-11-25,Male,mphripp7@bigcartel.com,other,28
brayner8,cswanborough8,2022-02-01,Female,bjenkin8@jalbum.net,father,29
fswindell9,agossage9,2022-01-03,Non-binary,bhenner9@dedecms.com,mother,30
